Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product Bought Together (product.metafields.bls.bought_together),Countdown Timer (product.metafields.bls.countdown_timer),Custom product badge (product.metafields.bls.custom_product_badge),Information product tab (product.metafields.bls.information_product_tab),Short Description (product.metafields.bls.short_description),Add your name here (product.metafields.custom.add_your_name_here),Product grouped (product.metafields.custom.product_grouped),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Custom id identifier for product (product.metafields.kwik-cart.custom-id),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Low stock threshold (product.metafields.sam.lowstockthreshold),Hide product from search (product.metafields.seo.hidden),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Included / Intl Market,Price / Intl Market,Compare At Price / Intl Market,Status
pink-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/C88ECFE1-DD5E-4577-B295-656C25E92A12.jpg?v=1779534741,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pink-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/ECEEEB30-77CD-4576-99C0-C44093F767D2.jpg?v=1779534741,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,PURPLE HANDWOVEN HANDCRAFTED GAJJI SILK CHANDMUKHI DUPATTA,"<p>Purple Handwoven handcrafted Gajji  Silk Chandmukhi  dupatta</p>
<p>size: 2.5 mtrs x 44""</p>
<p>a slight difference in shade could be due to the camera &amp; lights. embrace the imperfection !! happy handloom</p>
<p>dry clean only</p>",Weavekala,,"",SILK DUPATTA,true,Title,Default Title,,,,,,,,,300.0,shopify,1,deny,manual,8999.00,,true,true,,,,,21281818,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/8F5D0474-D1CE-4DF3-9E9A-36E707DFB80B.jpg?v=1779534479,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
purple-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/F415B802-AD99-4B24-9EB9-13D0A8F890CB.jpg?v=1779534479,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/D78F03F4-84C0-4CC5-9126-8033693BD88C.jpg?v=1779534479,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/7F00D625-DF09-4234-846E-30A5233C93C0.jpg?v=1779534479,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purple-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/D69A89BE-5097-45E2-AD01-D0593E2BB9C1.jpg?v=1779534478,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-yellow-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,RED & YELLOW HANDWOVEN HANDCRAFTED GAJJI SILK CHANDMUKHI DUPATTA,"<p>Red  &amp; Yellow Handwoven handcrafted Gajji  Silk Chandmukhi  dupatta</p>
<p>size: 2.5 mtrs x 44""</p>
<p>a slight difference in shade could be due to the camera &amp; lights. embrace the imperfection !! happy handloom</p>
<p>dry clean only</p>",Weavekala,,"",SILK DUPATTA,true,Title,Default Title,,,,,,,,,300.0,shopify,1,deny,manual,8999.00,,true,true,,,,,53419290,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/2A72CD84-67B4-4334-85DB-F01BC41E2D60.jpg?v=1779534275,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
red-yellow-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/416D42C9-1C7D-44E7-83C7-B83675336C45.jpg?v=1779534276,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-yellow-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/615BBB7A-2115-4C2E-BB2F-B7C2799EF807.jpg?v=1779534275,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-yellow-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/3A9DCB54-C56E-4D79-9A43-BFCCDAA4EE19.jpg?v=1779534275,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-yellow-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/56D111A0-02D5-4905-BA4B-01763E2B89BE.jpg?v=1779534275,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-orange-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,RED  & ORANGE HANDWOVEN HANDCRAFTED GAJJI SILK CHANDMUKHI DUPATTA,"<p>Red  &amp; Orange Handwoven handcrafted Gajji  Silk Chandmukhi  dupatta</p>
<p>size: 2.5 mtrs x 44""</p>
<p>a slight difference in shade could be due to the camera &amp; lights. embrace the imperfection !! happy handloom</p>
<p>dry clean only</p>",Weavekala,,"",SILK DUPATTA,true,Title,Default Title,,,,,,,,,300.0,shopify,1,deny,manual,8999.00,,true,true,,,,,70385178,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/D0249424-8861-4B1C-AB39-AB45983F401A.jpg?v=1779534060,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,true,,,active
red-orange-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/10306B50-89CE-476B-9E21-55A196189FF8.jpg?v=1779534060,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-orange-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/08A59CA9-887D-4758-A464-5EC0A025E252.jpg?v=1779534060,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-orange-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/C9FF3366-1920-4F03-94D9-93438A9D8604.jpg?v=1779534063,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red-orange-handwoven-handcrafted-gajji-silk-chandmukhi-dupatta-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0831/0312/1690/files/AE116D01-3856-42D8-A6BC-081EBE5F116E.jpg?v=1779534059,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
